customer_id,company_size,industry,region,signup_date,plan_type,contract_type,monthly_revenue,tenure_months,churned,cancel_date,avg_monthly_logins,avg_session_minutes,feature_usage_score,support_ticket_count,avg_resolution_hours
C00001,SMB,Retail,US,2022-03-13,Basic,Monthly,29,19,1,2023-10-04 00:00:00,4,9,13,5,45
C00002,SMB,Healthcare,APAC,2023-01-21,Basic,Monthly,29,21,0,,19,26,64,0,13
C00003,SMB,Healthcare,US,2022-07-09,Basic,Monthly,29,3,0,,16,23,78,1,7
C00004,Enterprise,Marketing,US,2022-12-12,Enterprise,Monthly,149,20,0,,21,21,83,0,11
C00005,SMB,Tech,US,2023-01-23,Basic,Monthly,29,6,1,2023-07-22 00:00:00,5,10,27,4,67
C00006,Enterprise,Healthcare,EU,2022-09-28,Enterprise,Monthly,149,23,0,,23,22,60,0,21
C00007,SMB,Marketing,APAC,2022-07-07,Basic,Monthly,29,29,0,,10,21,48,0,15
C00008,SMB,Finance,US,2023-01-27,Basic,Annual,29,33,0,,19,21,80,2,12
C00009,Mid-Market,Marketing,US,2023-05-18,Pro,Monthly,79,24,0,,21,22,61,2,6
C00010,SMB,Retail,APAC,2023-10-05,Basic,Annual,29,26,1,2025-11-23 00:00:00,7,11,18,4,65
C00011,SMB,Finance,US,2022-08-29,Basic,Monthly,29,32,0,,14,21,84,2,14
C00012,SMB,Retail,US,2023-11-30,Basic,Monthly,29,28,0,,22,20,67,1,14
C00013,SMB,Healthcare,US,2022-07-09,Basic,Monthly,29,27,0,,13,27,80,2,10
C00014,SMB,Finance,US,2023-11-08,Basic,Monthly,29,24,0,,15,23,88,1,20
C00015,SMB,Healthcare,US,2023-01-21,Basic,Annual,29,17,1,2024-06-14 00:00:00,3,6,14,3,24
C00016,SMB,Marketing,US,2023-11-03,Basic,Monthly,29,4,1,2024-03-02 00:00:00,4,5,15,7,57
C00017,Mid-Market,Finance,APAC,2022-05-24,Pro,Annual,79,6,0,,12,34,75,2,6
C00018,Mid-Market,Healthcare,EU,2023-05-04,Pro,Monthly,79,18,0,,20,32,62,2,13
C00019,SMB,Healthcare,US,2023-09-16,Basic,Monthly,29,2,0,,23,26,44,0,12
C00020,SMB,Finance,EU,2022-05-11,Basic,Annual,29,33,0,,20,31,47,1,11
C00021,Mid-Market,Finance,US,2023-04-18,Pro,Monthly,79,29,0,,23,32,41,1,6
C00022,Mid-Market,Tech,US,2023-08-03,Pro,Monthly,79,21,1,2025-04-24 00:00:00,4,5,10,6,45
C00023,SMB,Retail,US,2022-10-10,Basic,Monthly,29,21,0,,21,29,72,0,19
C00024,SMB,Finance,EU,2023-05-27,Basic,Monthly,29,28,0,,23,20,74,0,8
C00025,Enterprise,Tech,EU,2023-08-30,Enterprise,Annual,149,33,1,2026-05-16 00:00:00,6,9,10,5,41
C00026,SMB,Marketing,APAC,2023-11-17,Basic,Monthly,29,32,0,,16,16,66,1,5
C00027,SMB,Tech,US,2022-09-03,Basic,Monthly,29,29,1,2025-01-20 00:00:00,3,7,27,3,47
C00028,Enterprise,Marketing,US,2022-02-05,Enterprise,Annual,149,1,1,2022-03-07 00:00:00,7,10,21,5,46
C00029,SMB,Marketing,US,2022-02-20,Basic,Monthly,29,22,0,,15,31,81,1,18
C00030,SMB,Healthcare,US,2022-09-21,Basic,Annual,29,5,0,,15,27,71,1,18
C00031,Mid-Market,Healthcare,US,2023-01-05,Pro,Monthly,79,30,1,2025-06-23 00:00:00,4,8,14,4,46
C00032,SMB,Healthcare,US,2022-02-27,Basic,Annual,29,34,1,2024-12-13 00:00:00,7,5,17,7,24
C00033,Enterprise,Retail,EU,2022-09-04,Enterprise,Monthly,149,26,0,,14,28,67,0,18
C00034,SMB,Healthcare,US,2022-08-06,Basic,Annual,29,21,0,,10,19,62,1,13
C00035,Enterprise,Healthcare,US,2022-08-11,Enterprise,Monthly,149,19,0,,10,19,84,2,5
C00036,SMB,Finance,APAC,2023-11-21,Basic,Monthly,29,33,0,,12,25,76,2,4
C00037,Enterprise,Marketing,US,2022-10-12,Enterprise,Monthly,149,31,0,,22,33,89,2,20
C00038,Mid-Market,Retail,APAC,2023-08-25,Pro,Monthly,79,7,1,2024-03-22 00:00:00,6,6,22,5,52
C00039,SMB,Tech,APAC,2023-11-07,Basic,Monthly,29,9,0,,12,31,74,1,20
C00040,Mid-Market,Retail,US,2023-11-26,Pro,Annual,79,25,0,,23,31,88,1,23
C00041,Mid-Market,Retail,APAC,2022-06-26,Pro,Monthly,79,19,1,2024-01-17 00:00:00,5,10,29,5,70
C00042,SMB,Retail,US,2022-01-25,Basic,Monthly,29,21,0,,16,30,78,0,13
C00043,Enterprise,Marketing,US,2022-08-03,Enterprise,Monthly,149,11,0,,21,23,49,1,15
C00044,Enterprise,Retail,US,2023-01-28,Enterprise,Annual,149,2,0,,14,20,58,0,4
